id,bank,counterparty,posted,new_balance,value,type,user,account_type
cbfefaf6-ba04-4217-8dfa-1eff98643a78,bank_c_00.uk,INCOME,2016-05-11,93000.00,33000.00,INCOME,John Williams,CURRENT
c77ecc61-4015-493f-a709-055104758a91,bank_c_00.uk,Olive Garden,2016-05-11,92409.97,-590.03,food,John Williams,CURRENT
4c76b1d4-e6c4-4641-a67c-0c96fba4ad6b,bank_c_00.uk,The Crucible,2016-05-12,91044.01,-1365.96,education,John Williams,CURRENT
f6fa6ac7-d242-4bbb-a642-f7188b9e0199,bank_c_00.uk,Olive Garden,2016-05-15,90472.20,-571.81,food,John Williams,CURRENT
432f20e3-335d-4fd6-bd8d-8b6abccd120f,bank_c_00.uk,Comcast,2016-05-16,89204.15,-1268.05,utility,John Williams,CURRENT
bc7f3717-d2fc-42c2-84cb-69d98fdc02e6,bank_c_00.uk,Macy's,2016-05-21,87616.03,-1588.12,clothing,John Williams,CURRENT
e0d66209-2d6c-4142-a085-098c12e154f0,bank_c_00.uk,Jiffy Lube,2016-05-24,86517.72,-1098.31,auto,John Williams,CURRENT
77357344-a350-4227-9da9-fa5c2000e407,bank_c_00.uk,AMC Theaters,2016-05-30,85802.55,-715.17,entertainment,John Williams,CURRENT
8d53c844-750e-4168-9b08-59a7bf50c68c,bank_c_00.uk,Olive Garden,2016-06-01,85316.95,-485.60,food,John Williams,CURRENT
1b397633-2d3e-477b-95d9-c347e30a51a0,bank_c_00.uk,Olive Garden,2016-06-04,84762.29,-554.66,food,John Williams,CURRENT
02cb9bcb-125d-4ee7-803d-9286346eff2f,bank_c_00.uk,Dr. Martins,2016-06-04,83491.99,-1270.30,health,John Williams,CURRENT
fd92e095-2f13-46c4-8646-4359be85244c,bank_c_00.uk,Nordstrom,2016-06-05,83040.74,-451.25,gift,John Williams,CURRENT
12ddd290-dec8-4b8d-9231-2356d3c3dc65,bank_c_00.uk,Olive Garden,2016-06-07,82371.44,-669.30,food,John Williams,CURRENT
3057046c-4e91-418c-9e34-ffabb015cb9a,bank_c_00.uk,INCOME,2016-05-11,2030000.00,30000.00,INCOME,John Williams,SAVING
1d0e6f23-20f4-4582-b1fd-902d68649546,bank_c_01.uk,INCOME,2016-05-11,620000.00,20000.00,INCOME,Ammy Smith,SAVING
c538236f-adc8-4124-b415-dcf8aa948086,bank_c_01.uk,INCOME,2016-05-11,210000.00,60000.00,INCOME,Ammy Smith,CURRENT
830d1a60-90df-4389-b6ef-e9e70448ed6e,bank_c_01.uk,RENT,2016-05-11,190000.00,-20000.00,RENT,Ammy Smith,CURRENT
57605b72-6cb6-4a8f-950e-366d40952fd7,bank_c_01.uk,Starbucks,2016-05-12,189530.74,-469.26,food,Ammy Smith,CURRENT
915dd001-5314-44b8-b167-7b425cabd0bf,bank_c_01.uk,Campus Books,2016-05-14,187836.11,-1694.63,education,Ammy Smith,CURRENT
1d9ce8c1-76ad-48c0-81a4-71cfce011a91,bank_c_01.uk,Starbucks,2016-05-27,187487.15,-348.96,food,Ammy Smith,CURRENT
f2d8e122-f42d-43e0-8e83-4944038a0959,bank_c_01.uk,Verizon,2016-05-27,186307.65,-1179.50,utility,Ammy Smith,CURRENT
f380f433-b6c9-41da-800a-113d8483a404,bank_c_01.uk,Macy's,2016-05-27,185032.60,-1275.05,clothing,Ammy Smith,CURRENT
a2146794-7514-4c49-9da0-cbfc1ec59094,bank_c_01.uk,Dr. Jackson,2016-05-27,183921.66,-1110.94,health,Ammy Smith,CURRENT
e28aa02b-81f2-4f1f-9587-8fcd3835fa0f,bank_c_01.uk,Apple Store,2016-05-29,183508.06,-413.60,gift,Ammy Smith,CURRENT
2a09b350-6798-48cc-ad72-0e9244ee0699,bank_c_01.uk,Starbucks,2016-05-30,182871.74,-636.32,food,Ammy Smith,CURRENT
d56ce086-0fb8-4265-9b0a-2f8b153ed7e9,bank_c_01.uk,Starbucks,2016-06-01,182245.11,-626.63,food,Ammy Smith,CURRENT
